file,title,year,certainty
104184105,Song in praise of the highland lads - L.C.2786.A(1),1826,
104184106,Two new songs - L.C.2786.A(10),1835,
104184107,"Report of the cattle show at Trearne, 10th Sept. 1836 - L.C.2786.A(11)",1836,
104184108,Laird of Ardenoaige and the Ghost of Fenhaglen - L.C.2786.A(12),1838,
104184109,Comical story of Thrummy Cap and the ghaist - L.C.2786.A(13),1850,
104184110,Old Scottish tragical ballad of Sir James the Rose - L.C.2786.A(14),1840,
104184111,True and correct narrative of the dreadful burning of the steam-ship Amazon - L.C.2786.A(15),1852,
104184112,Picture of war - L.C.2786.A(16),1826,
104184113,Tales for the farmers' ingle-neuk - L.C.2786.A(17),1826,
104184114,Elegy on the year eighty-eight - L.C.2786.A(19),1799,
104184115,"Melancholy loss of the whale-fishing ship Oscar, of Aberdeen, on Thursday, April 1, 1813 - L.C.2786.A(2)",1853,
104184116,Emigrant - L.C.2786.A(26),1796,
104184117,"Watty & Meg, or, The wife reformed - L.C.2786.A(27)",1801,
104184118,"Mill o' Tiftie's Annie, or, Andrew Lammie, the trumpeter of Fyvie - L.C.2786.A(3)",1868,
104184119,Three crump twin brothers of Damascus - L.C.2786.A(30),1809,
104184120,Interesting letter from Queen Caroline to King George IV - L.C.2786.A(31),1820,
104184121,Wellington's address - L.C.2786.A(32),1824,
104184122,Life of Robert Burns - L.C.2786.A(33),1828,
104184123,Life of Oliver Cromwell - L.C.2786.A(34),1828,
104184124,Sir James the Rose - L.C.2786.A(4),1891,
104184125,Hermit of Powis - L.C.2786.A(5),1873,
104184126,Village pestilence - L.C.2786.A(6),1835,
104184127,"Miser and the prodigal, a moral tale - L.C.2786.A(7)",1830,
104184128,Remarkable account of a shipwreck on an uninhabited island - L.C.2786.A(8),1830,
104184129,"Selection of songs, &c. - L.C.2786.A(9)",1835,
104184130,Most strange and wonderful prophecy in the year 1684 - L.C.2786.A.(20),1714,uncertain
104184131,"To the ministers and elders met at Edinburgh, April 26, 1710 - L.C.2786.A.(21)",1710,
104184132,"Sermon preached by Mr. James Rows [sic], in St. Geil's Kirk at Edinburgh, which has been commonly known by the name of Pockmanty preaching - L.C.2786.A.(22)",1715,
104184133,True account of the wonderful conversion at Cambuslang - L.C.2786.A.(24),1742,
104184134,Account of the last words of Christian Ker - L.C.2786.A.(25),1759,
104184135,Burns' celebrated songs - L.C.2786.A.(29),1805,
104184136,Geographical description of Scotland - L.C.2786A(18),1681,
104184137,"Mournfull song, upon the breach of national, and solemn league, and covenant - L.C.2786A(23)",1724,
104184138,[I]nterlocutor - L.C.2786A(28),1803,
104184139,Four excellent new songs - L.C.2787(1),1771,
104184140,"Patriotic song, or, Bonaparte will be here - L.C.2787(11)",1810,
104184141,"Faithless captain, or, The betray'd virgin - L.C.2787(12)",1810,
104184142,New song on the death of General Abercrombie - L.C.2787(13),1810,
104184143,"Canty carlie, or, The raveled bridal of Auchronie - L.C.2787(14)",1810,
104184144,"Excellent new song, called The blae berries - L.C.2787(15)",1801,
104184145,History and comical transactions of Lothian Tom - Part 1 - L.C.2787(16),1800,uncertain
104184147,Dusky night - L.C.2787(18),1820,
104184148,Sailor bold - L.C.2787(2),1771,
104184149,Bride's burial - L.C.2787(3),1771,
104184150,Patient countess - L.C.2787(4),1771,
104184151,Taylor's garland - L.C.2787(5),1771,
104184152,Crafty squire's garland - L.C.2787(6),1771,
104184153,Excellent new song called the farmer's glory - L.C.2787(7),1771,
104184154,Four excellent new songs - L.C.2787(8),1771,
104184155,Four excellent new songs - L.C.2787(9),1771,
104184156,Three excellent new songs - L.C.2787.(10),1771,
104184157,"Fun upon fun, or, Leper the tailor - L.C.2788(1)",1880,
104184158,Gems of Scottish song - L.C.2788(10),1880,
104184159,Laird o' Drum and The baron o'Leys - L.C.2788(11),1888,
104184160,History of Will and Jean - L.C.2788(2),1880,
104184161,"Mill o' Tiftie's Annie, or, Andrew Lammie, the trumpeter of Fyvie - L.C.2788(3)",1893,
104184162,Thrummy cap - L.C.2788(4),1880,
104184163,"Watty and May, or, The wife reclaimed - L.C.2788(5)",1880,
104184164,"Gems of Tannahill's songs, &c. &c. - L.C.2788(6)",1880,
104184165,Songs of bonnie Scotland - L.C.2788(7),1880,
104184166,"Merry humours, wise sayings, and curious adventures of George Buchanan - L.C.2788(8)",1880,
104184167,Witty and entertaining exploits of Geo. Buchanan - L.C.2788(9),1880,
104184168,"New song, called Auld Scotia free - L.C.2789(1)",1820,
104184169,Highland piper's advice to drinkers - L.C.2789(2),1840,
104184170,Scotch songs - L.C.2790(1),1817,
104184171,Burns's songs - L.C.2790(2),1817,
104184172,Historical ballad of May Culzean - L.C.2790(3),1817,
104184173,Historical ballad of May Culzean - L.C.2790(4),1817,
104184174,Two orphans - L.C.2790(5),1818,
104184175,Complete budget of wit - L.C.2790(6),1817,
104184176,"History of Duncan Campbell, and his dog Oscar - L.C.2790(7)",1817,
104184177,Elegant extracts - L.C.2790(8),1817,
104184178,Saturday night - L.C.2791((8),1817,
104184179,Four funny tales - L.C.2791(1),1802,
104184180,"Wedding ring fit for the finger, or, The salve of divinity on the sore of humanity - L.C.2791(10)",1817,
104184181,Proposals for original publications - L.C.2791(11A),1817,
104184182,Jones' address to a sovereign - L.C.2791(11B),1817,
104184183,Anecdotes of singular and remarkable conversions - L.C.2791(12),1817,
104184184,"Account of the dispute between Russia, Sweden & Denmark, and Great Britain - L.C.2791(2)",1801,
104184185,"Twenty remarkable passages in the life and prophecies of Mr. Alex. Peden, late minister of the gospel at New Glenluce, in Galloway - L.C.2791(3)",1817,
104184186,"Aloway Kirk, or, Tam o' Shanter, a tale - L.C.2791(4)",1817,
104184187,"Scotland's skaith, or, The history o' Will and Jean - L.C.2791(5)",1817,
104184188,"Conversations, between James Block, Esq. and Millar, the editor of the Monthly Miscellany - L.C.2791(6)",1817,
104184189,"History of the devil, ancient and modern - L.C.2791(7)",1817,
104184190,"History of Duncan Campbell, and his dog Oscar - L.C.2791(9)",1817,
104184191,"Celebrated ballad of the lass of Fair Wone, or, The parson's daughter betrayed - L.C.2792(1)",1832,
104184192,Humorist - L.C.2792(2),1833,
104184193,Songs - L.C.2792(3),1834,
104184194,"Grigor's ghost, or, The constant lovers - L.C.2792(4)",1835,
104184195,"Old maid and widow, or, The widow the best wife - L.C.2792(5)",1835,
104184196,"Thrummy cap, a tale - L.C.2792(6)",1839,
104184197,Songs - L.C.2792(7),1844,
104184198,"Scots proverbs, ancient and modern - L.C.2792(8)",1834,
104184199,"Prophecies of Thomas the Rhymer, the ancient Scotch prophet - L.C.2793(1)",1855,
104184200,Jeanie Deans and the lily of St. Leonard's - L.C.2793(2),1855,
104184201,"Important passages in the life of Mansie Wauch, tailor in Dalkeith - L.C.2793(3)",1855,
104184202,Duke of Gordon's daughters - L.C.2794(1),1798,
104184203,Mother Hubbard's fortune teller - L.C.2794(10),1830,
104184204,Life and wonderful prophecies of Donald Cargill - L.C.2794(11),1830,
104184205,Witty and entertaining exploits of George Buchanan - L.C.2794(12),1830,
104184206,Short account of the origin and progress of the cholera morbus - L.C.2794(13),1833,
104184207,Four excellent new songs - L.C.2794(2),1797,
104184208,"Bride's burial, or, The affectionate lovers - L.C.2794(3)",1812,
104184209,Select songs - L.C.2794(4),1793,
104184210,Select songs - L.C.2794(5),1793,
104184211,"Right and equality, constitution, organization, and kings, explained, or, One pennyworth of truth - L.C.2794(7)",1793,
104184212,Life of James Renwick - L.C.2794(8),1830,
104184213,Life and prophecies of Alexander Peden - L.C.2794(9),1830,
104184214,Copy of a letter written by David M'Roberts to his wife two days before his execution - L.C.2794.(6),1798,
104184215,New riddle book - L.C.2795(1),1795,
104184216,Deserter - L.C.2795(2),1795,
104184217,"Little book of knowledge, or, The country man's choice companion - L.C.2795(3)",1799,
104184218,Burning mountains - L.C.2795(4),1795,
104184219,"Account of a dreadful hurricane which happened in the island of Jamaica, in the month of October, 1780 - L.C.2795(5)",1799,
104184220,Melancholy consequences of two sea storms - L.C.2795(6),1795,
104184221,"Account of some imaginary apparitions, the effects of fear or fraud - L.C.2795(7)",1795,
104184222,Comical sayings of Pady from Cork - L.C.2795(8),1795,
104184223,"Copy of a remarkable prophecy, relative to the present times - L.C.2795(9)",1793,
104184224,"Magdalen, or, The history of a reform'd prostitute - L.C.2796(1)",1795,
104184225,True humanity usefully exerted - L.C.2796(10),1795,
104184226,"Death bed, or, Patience & resignation (to the will of God) displayed - L.C.2796(11)",1795,
104184227,Drunkard's consolation on the ale being raised - L.C.2837(16),1802,
104184228,Turkish lady - L.C.2837(17),1802,
104184229,"Fortunate weaver's uprise, or, The landlady well pleased - L.C.2837(18)",1802,
104184230,"Lincolnshire knight, or, The poor rich man - L.C.2837(19)",1802,
104184231,Tippling farmer - L.C.2837(2),1802,
104184232,Country cousin - L.C.2837(20),1802,
104184233,Constant swain - L.C.2837(21),1802,
104184234,Goodman's grief for the ewie wi the crooked horn - L.C.2837(22),1802,
104184235,Dutchess of Newcastle's lament - L.C.2837(23),1802,
104184236,"Excellent old song intitled, Maggy Lauther - L.C.2837(24)",1802,
104184237,"Tar's conquest, or, The young sailor's ramble - L.C.2837(25)",1801,
104184238,Ladies breastknot - L.C.2837(26),1802,
104184239,"Blaeberries, or, The highland laird's courtship to a farmer's daughter - L.C.2837(27)",1803,
104184240,"Bonny Annie's elopement, with the pursuit and disappointment - L.C.2837(28)",1803,
104184241,"Jolly sailor, or, The lady of Greenwich - L.C.2837(29)",1803,
104184242,True hearted maiden - L.C.2837(3),1802,
104184243,"Farmer's son or, The unfortunate lovers - L.C.2837(30)",1803,
104184244,Wat'ry god - L.C.2837(31),1803,
104184245,Rambling boy with the answer - L.C.2837(32),1803,
104184246,Belfast maid's lamentation for the loss of her sweetheart - L.C.2837(33),1803,
104184247,"Old hulk laid up or, The new way of Tom Tough - L.C.2837(34)",1803,
104184249,"Buxom dame of Reading, or, The cuckold's cap - L.C.2837(5)",1802,
104184250,Laird of Logie - L.C.2837(6),1802,
104184251,"Peace & plenty, or, Britons rejoice - L.C.2837(7)",1802,
104184252,"Poor man's labour never done, or, The mother's advice - L.C.2837(8)",1802,
104184253,"Goodman of Auchtermouchtie, or, The goodwife turn'd goodman - L.C.2837(9)",1802,
104184254,"Two babes in the wood, or, The Norfolk gentleman's last will and testament - L.C.2838(1)",1802,
104184255,Wanton virgins frightened - L.C.2838(10),1802,
104184256,"Oxfordshire tragedy, or, The virgin's advice - L.C.2838(11)",1802,
104184257,"Tales of instruction, in verse and prose - L.C.2796(12)",1795,
104184258,Affecting history of an inn-keeper in Normandy - L.C.2796(13),1795,
104184259,"Honest debtor, or, The virtuous man struggling with, rising superior to, and overcoming misfortune - L.C.2796(14)",1795,
104184260,"Short stories for little folks, or, Little tales calculated to excite juvenile minds to the love and practice of virtue - L.C.2796(15)",1795,
104184261,Power of affection - L.C.2796(16),1795,
104184262,"Little fabulist, or, Select fables - L.C.2796(17)",1795,
104184263,Instructor - L.C.2796(18),1795,
104184264,"Antidote to superstition, or, A cure for those weak minds which are troubled with the fear of, ghosts and witches - L.C.2796(19)",1795,
104184265,"Maria, or, The wanderer reclaim'd - L.C.2796(2)",1795,
104184266,"Evening walk, with suitable reflections - L.C.2796(20)",1795,
104184267,Slave trade - L.C.2796(3),1795,
104184268,Generous libertine - L.C.2796(4),1795,
104184269,Counsels to young men - L.C.2796(5),1795,
104184270,Serious thoughts for the living - L.C.2796(6),1795,
104184271,Reflections among the monuments - L.C.2796(7),1795,
104184272,Moral tales - L.C.2796(8),1795,
104184273,"Drunken husband, or, The fatal effects of drunkenness - L.C.2796(9)",1795,
104184274,Collection of notable things worth knowing - L.C.2797(1),1828,
104184275,Awful phenomena of nature - L.C.2797(10),1828,
104184276,"Execution, or, The affecting history of Tom Bragwell - L.C.2797(11)",1828,
104184277,"Way to wealth, or, Poor Richard's maxims improved - L.C.2797(12)",1828,
104184278,Deplorable effects of heathen superstition - L.C.2797(13),1828,
104184279,Tales for the farmers' ingle-neuk - L.C.2797(14),1828,
104184280,Penny-worth of wit - L.C.2797(2),1828,
104184281,"Wonderful magazine of strange adventures, singular occurrences, and remarkable incidents - L.C.2797(3)",1828,
104184282,Amusing stories of animals - L.C.2797(4),1828,
104184283,Accidents and disasters on land - L.C.2797(5),1828,
104184284,Shipwrecks and disasters at sea - L.C.2797(6),1828,
104184285,Picture of war - L.C.2797(7),1828,
104184286,"Account of the dreadful accident and great loss of lives which occurred at Kirkcaldy, on Sunday the 15th June, 1828 - L.C.2797(8)",1828,
104184287,"Awful phenomena of nature -- snow storms, third of March and twenty-third April, 1827 - L.C.2797(9)",1828,
104184288,Great importance of parental instruction - L.C.2798(1),1826,
104184289,Songster's garland - L.C.2798(10),1833,
104184290,Sermon on malt - L.C.2798(11),1831,
104184291,Picture of war - L.C.2798(2),1826,
104184292,"Loss of the Comet steam-boat on her passage from Inverness to Glasgow, on Friday the 21st October, 1825 - L.C.2798(3)",1826,
104184293,Awful phenomena of nature -- earthquakes - L.C.2798(4),1826,
104184294,Awful phenomena of nature -- burning mountains - L.C.2798(5),1826,
104184295,Book of knowledge - L.C.2798(6),1826,
104184296,"Doctrine of the cross of Christ, stated and improved - L.C.2798(7)",1826,
104184297,True religion a source of happiness - L.C.2798(8),1827,
104184298,Short illustration of the commission given by Jesus Christ to his apostles - L.C.2798(9),1828,
104184299,"Monthly scrap book, for January - L.C.2799(1)",1832,
104184300,"Monthly scrap book, for October - L.C.2799(10)",1832,
104184301,"Monthly scrap book, for November - L.C.2799(11)",1832,
104184302,"Monthly scrap book, for December - L.C.2799(12)",1832,
104184303,"Monthly scrap book, for February - L.C.2799(2)",1832,
104184304,"Monthly scrap book, for March - L.C.2799(3)",1832,
104184305,"Monthly scrap book, for April - L.C.2799(4)",1832,
104184306,"Monthly scrap book, for May - L.C.2799(5)",1832,
104184307,"Monthly scrap book, for June - L.C.2799(6)",1832,
104184308,"Monthly scrap book, for July - L.C.2799(7)",1832,
104184309,"Monthly scrap book, for August - L.C.2799(8)",1832,
104184310,"Monthly scrap book, for September - L.C.2799(9)",1832,
104184311,Perswasive to frequent communion - L.C.2800(1),1688,
104184312,Most strange and wonderful prophecy in the year 1684 - L.C.2800(2),1714,uncertain
104184313,"Unnnatural [sic] son, or, A sad and deplorable relation, of the unfortunate end of Henry Jackson - L.C.2800(3)",1701,
104184315,"Early soliloquies, as also, the daily sacrifice, or The Lords Prayer paraphrased - L.C.2800(7)",1719,
104184316,"King of France, his catechism - L.C.2800.(4)",1703,
104184318,[Ane hundred] godly lessons that a mother on her death-bed gave to her children - L.C.2800.(6),1718,
