X.text.,year,month,id
SWP No. 5.1(Examination of Nehemiah Abbott Jr. )[April 22 1692]The examination of Nehemiah Abbot  at a court at Salem village  by John Hawthorne and Jonathan Corwin Esqrs. 22nd April 1692 .What say you are you guilty of witchcraft of which you are sus-  pected or not? No Sir I say before God before whom I stand that  I know nothing of witchcraft. Who is this man? Ann Putman named  him. -- Mary Walcot said she had seen his shape. What do you say to  this? I never did hurt them. Who hurt you Ann Putman ? That man.  I never hurt her. Ann Putman said he is upon the beam. Just such a  discovery of the person carried out and she confessed; and if you  would find mercy of God you must confess. -- If I should confess  this I must confess what is false. Tell how far you have gone who  hurts you? I do not know I am absolutely free. As you say God  knows. If you will confess the truth we desire nothing else that you  may not hide you guilt if you are guilty and therefore confess if so.  I speak before God that I am clear from this accusation. What in all  respects? Yes in all respects. Doth this man hurt you? Their mouths  were stopped. You hear several accuse you though one cannot open  her mouth. I am altogether free. Charge him not unless it be he. This  is the man say some and some say he is very like him. How did you  know his name? He did not tell me himself but other witches told  me. Ann Putman said it is the same man and then she was taken with  a fit. Mary Walcot  is this the man? He is like him I cannot say it is  he. Mercy Lewis said it is not the man. They all agreed the man had  a bunch on his eyes. Ann Putman  in a fit said be you the man? ay  do you say you be the man? did you put a mist before my eyes?  Then he was sent forth till several others were examined. When he was  brought in again by reason of much people and many in the win-  dows so that the accusers could not have a clear view of him he was   ordered to be abroad and the accusers to go forth to him and view  him in the light which they did and in the presence of the magis-  trates and many others discoursed quietly with him one and all  acquitting him but yet said he was like that man but he had not the  wen they saw in his apparition Note he was a hilly faced man and  stood shaded by reason of his own hair so that for a time he seemed  to some by-standers and observers to be considerably like the person  the afflicted did describe.Mr. Samuel Parris  being desired to take in writing the examina-  tion of Nehemiah Abbot  hath delivered it as aforesaid and upon  hearing the same did see cause to dismiss him.John Hawthorne Jona. Corwin {  Assistants. ( Thomas Hutchinson The History of the Province of Massachusetts-Bay  vol. 2 ed. Lawrence Shaw Mayo. (Cambridge MA: Harvard University Press 1936). p. 35. ),1692,April,5.1
SWP No. 6.1(Warrant for the Apprehension of John Alden & Officer's Return)[May 31 1692]To the Constable of Salem Essex Ss Whereas Complaint hath been made unto us John Hathorne & Jonathan Corwin Esq'rs by severall persons of Salem Village  that Cap't John Alden of Boston Marrin'r # [that he] is guilty of witchcraft in cruelly tortureing & afflicting several of their  Children  & others these are therefore in their Maj'ties King William  & Queen Maryes name to Authorize & Comand you forthwith to Apprehend the body of the said John Alden and Imediately bring him  before us to Answer what shall be objected ag't him in that behalfe and this shall be yo'r sufficient warrant Given under our hands the  31st day of May 1692 And in the fourth year of the Reigne of our Sovereigne Lord and Lady William & Mary now King and Queen  over England &cPer us * John Hathorne* Jonathan. Corwin {  Assis'ts  Persons Complaining viz't   Mary Walcott  Mercy Lewis  Abigail WilliamsAnn putnamElizabeth BoothMary Warren (Reverse) In obediance to the within written warant I have Apprehended the Body of Cap't John Alden accordeing to tener of this warant (In right margin) John Alden ( Essex County Court Archives Salem - Witchcraft Vol. 2 No. 107 )Notes( When this symbol precedes bracketed material in these documents it signifies that in the  original a line is drawn through the bracketed word or words. (Bracketed words not  preceded by the “#” represent informed guesses by the compilers of the 1938 WPA  typescript as to words that in the original are either illegible or through the wear and  tear of the centuries obliterated entirely.)(* An asterisk preceding a name in these documents signifies that in the original it is an  autograph signature. ),1692,May,6.1
SWP No. 6.2(Examination of John Alden as Published by Robert Calef)[May 31 1692 ]John Aldin Senior  of Boston in the County of Suffolk Mariner on the 28th Day of May 1692 was sent for by the Magistrates of Salem in the County of Essex upon the Accusation of a  company of poor distracted or possessed Creatures or Witches;  and being sent by Mr. Stoughton  arrived there the 31st of May  and appeared at Salem-Village before Mr. Gidney  Mr. Hathorn  and Mr. Curwin.Those Wenches being present who plaid their jugling tricks  falling down crying out and staring in Peoples Faces; the Magi-  strates demanded of them several times who it was of all the People  in the Room that hurt them? one of these Accusers pointed several  times at one Captain Hill  there present but spake nothing; the  same Accuser had a Man standing at her back to hold her up; he  stooped down to her Ear then she cried out Aldin  Aldin afflicted  her; one of the Magistrates asked her if she had ever seen Aldin   she answered no he asked her how she knew it was Aldin ? She  said the Man told her so.Then all were ordered to go down into the Street where a Ring  was made; and the same Accuser cried out “there stands Aldin  a  bold fellow with his Hat on before the Judges he sells Powder and  Shot to the Indians and French and lies with the Indian Squaes  and has Indian Papooses.” Then was Aldin committed to the Marshal's  Custody and his Sword taken from him; for they said he afflicted  them with his Sword. After some hours Aldin was sent for to the  Meeting-house in the Village before the Magistrates; who required  Aldin to stand upon a Chair to the open view of all the People.The Accusers cried out that Aldin did pinch them then when  he stood upon the Chair in the sight of all the People a good way  distant from them one of the Magistrates bid the Marshal to hold  open Aldin's hands that he might not pinch those Creatures. Aldin  asked them why they should think that he should come to that  Village to afflict those persons that he never knew or saw before?  Mr. Gidney bid Aldin confess and give glory to God; Aldin said he hoped he should give glory to God and hoped he should never gratifie the Devil; but appealed to all that ever knew him if they ever suspected him to be such a person and challenged any one that could bring in any thing upon their own knowledge that might give suspicion of his being such an one. Mr. Gidney said he had known Aldin many Years and had been at Sea with him and al-  ways look'd upon him to be an honest Man but now he did see cause  to alter his judgment: Aldin answered he was sorry for that but he hoped God would clear up his Innocency that he would recall  that judgment again and added that he hoped that he should with  Job maintain his Integrity till he died. They bid Aldin look upon the Accusers which he did and then they fell down. Aldin asked  Mr. Gidney what Reason there could be given why Aldin's looking  upon him did not strike him  down as well; but no reason was given  that I heard. But the Accusers were brought to Aldin to touch them and this touch they said made them well. Aldin began to speak of the Providence of God in suffering these Creatures to accuse Innocent persons. Mr. Noyes asked Aldin why he would offer to speak of the Providence of God. God by his Providence (said Mr. Noyes ) governs the World and keeps it in peace; and so went on with Discourse and stopt Aldin's mouth as to that. Aldin told Mr. Gidney that he could assure him that there was a lying Spirit in them for I  can assure you that there is not a word of truth in all these say of me. But Aldin was again committed to the Marshal and his Mittimus  written which was as follows.  To Boston Aldin was carried by a Constable no Bail would be taken for him; but was delivered to the Prison-keeper where he remained Fifteen Weeks; and then observing the manner of Tryals and Evidence then taken was at length prevailed with to make his Escape and being returned was bound over to Answer at the Superiour Court at Boston the last Tuesday in AprilAnno 1693. And was there cleared by Proclamation none appearing against him.                                                          Per. John Aldin.( Robert Calef. More Wonders of the Invisible World Display’d in Five Parts. (London: Nath. Hillard 1700) pp. 98–100 ).,1692,May,6.2
SWP No. 6.3( Mittimus for John Alden and Sarah Rice as Published by Robert Calef )To Mr. John Arnold  Keeper of the Prison in Boston in the County  of Suffolk. [May 31 1692 ]Whereas Captain John Aldin of Boston Marriner and Sarah Rice  Wife of Nicholas Rice of Reding Husbandman have been this day brought before us John Hathorn and Jonathan Curwin  Esquires;   being accused and suspected of perpetrating divers acts of Witchcraft  contrary to the form of the Statute in that Case made and provided:  These are therefore in Their Majesties King William and Queen Marys  Names to Will and require you to take into your Custody the  bodies of the said John Aldin  and Sarah Rice  and them safely keep  until they shall thence be delivered by due course of Law; as you will  answer the contrary at your peril; and this shall be your sufficient  Warrant. Given under our hands at Salem Village the 31st of May  in the Fourth Year of the Reign of our Sovereign Lord and Lady  William and Mary now King and Queen over England etc. Anno  Dom. 1692.John Hathorn   Jonathan Curwin  {  Assistants . To Boston Aldin was carried by a Constable no Bail would be  taken for him; but was delivered to the Prison-keeper where he re-  mained Fifteen Weeks; and then observing the manner of Tryals  and Evidence then taken was at length prevailed with to make his  Escape and being returned was bound over to Answer at the Supe-  rior Court at Boston the last Tuesday in April Anno 1693. And  was there cleared by Proclamation none appearing against him.Per  John Aldin. ( Robert Calef  More Wonders of the Invisible World Display’d in Five Parts. (London: Nath. Hillard 1700) pp. 98–100. ),1692,May,6.3
SWP No. 6.4(Recognizance for John Alden )[December 31 1692]Suffolk Ss. Memorandum That on the Thirty First day of Decemb'r 1692.  In the Fourth year of the Reign of our Sovereign Lord & Lady  William and Mary by the grace of God of England Scotland France  and Ireland King and Queen &c p'sonally came and appeared Before  me John Richards Esq'r One of their Ma'ties Justices of the Superiour  Court of Judicature within the Province of the Massachusetts Bay in  New England John Alden #[of] Marrin'r Nathanael Williams & Samuel Chechley Shopkeepers all of Boston within the said County  of Suffolk.and acknowledged themselves and each of them to be  indebted unto our said Lord and Lady the King and Queen and the  Survivour of them their heires and Successors in the Sum of Two  hundred pounds To be levied on their or either of their Goods  Chattels Lands or Tenements for the use of our said Lord & Lady  the King and Queen or the Survivour of them if default be made  in the performance of the Condition underwritten.The Condition of the above Recogniscance is such That whereas  the abovebounden John Alden  being accused and Suspected of perpetrating divers Acts of Witchcrafts contrary to the forme of the  Statute in that case made and provided was taken up and committed  for the same unto their Ma'ties Goal in Boston from whence he  made his Escape If Therefore the said John Alden shall personally  appear before their Ma'ties Justices at the next Superiour Court of  Judicature and Court of Assize to be held at Boston within the said  County of Suffolke to answer what shall be objected against him on their Maj'ties behalfe referring unto the p'rmisses And shall do and receive that which by the said Court shall then & there be Enjoyned  him Then this abovewritten Recogniscance to be void and of none  Effect; Or else to abide and remain in full force and virtue./.Recognit die predict. Cor. me.   *John Richards( MS Ch F vol. 10 p. 47 Rare Books & Manuscripts Boston Public Library Boston MA.),1692,December,6.4
SWP No. 7.1(Indictment v. Abigail Barker for Afflicting Rose Foster )[January 6 1693  ] Essex in the Province  of the Massachusetts bay  In New England ss//Anno RR's & Reginae Gulielmi & Mariae Angliae &c Quarto Anoq'e  \ Dom : 1692The Jur'rs for o'r Sov'r lord and Lady the King and Queen present  That Abigaill Barker Wife of Ebenezer Barker of Andivor In  & upon the Eighth day of September last in the yeare aforesaid  & divers other days & Times as well before as after Certaine detestable arts Called Witchcrafts & Sorcerys wickedly mallitiously  & felloniously hath used practised & Exersised at & in the Towne of  Andivor aforesaid in the County of Essex aforesaid #[in] upon & Against  One Rose foster of Andivor by which Said Wicked Arts the Said  Rose foster the day & year afors'd & divers others days & times  both before & after was & is Tortured Aflicted Consumed pined  Wasted and Tormented Against the peace of o'r Sov'r lord & lady  the King & Queen their Crowne & dignity & the laws & Acts in  that Case made & provided(Reverse) Abigaill Barker for bewitching Rose foster( Massachusetts Archives Collection vol. 135 no. 54.),1693,January,7.1
SWP No. 8.1(Examination of Mary Barker )[August 29 1692.]29 August 1692.  Before Maj'r Gidney Mr. Hauthorn and Mr. CorwinThe Examination and confession of Mary Barker of AndoverAfter severall questiones propounded and negative answe'rs Returned  she at last acknowledged that Goody Johnson made her a witch And  that #[this] sometine last #[spring] sumer she made a red mark in the devils  book with the forefinger of her Left hand And the Devil would have her hurt  martha Sprague Rose foster and Abigail martin which she did upon  Saturnday and Sabath day last she said she was not above a quarter of  an hour in comeing down from Andover to Salem to afflict she  sayes she afflicted the above three persones bye squeezeing her hands.  she confesses she was at the witch meeting at Salem Village with her  unkle there was a great many theire and of her company their was  only her unkle W'm Barker and mary marston Martha Sprague said  that Mary Barkers apparition told that she was baptised at five myle pond.said Mary Barker said there was such a load & weight at her stomack that hindered her from speakeing And is afrayd she hes given up  her self soul & body to the devil she sayes she promised to serve  worship and beleeve in him And he promessed to pardone her sins  but finds he hes deserved her and that she was Lost of god and  all good people That Goody Jonson and Goody falkner appeared  at the same tyme and threatned to teare her in peeces if she did  not doo what she then did. she further sayth that she hes seen no  appearance since but a fly which did speake to her and bid her  afflict these poor creatu'rs. which she did by pincheing with and  Clincheing of her hands for which she is sorry And further the Devil   told her it would be very brave and cliver for her to come down  here to Salem among these accused persones. And that she should  never be brought out. She promises to confess what more she shall  hereafter remember.Mary Barker Signed and owned         THE X  MARKE  the abovesaid Examination & Confesion                         of Mary. Barker:17 Sep't 1692 before me*John Higginson Jus'e peace (Reverse) Confession of Mary Barker  acused. w'm Barker Sen'rGoody JohnsonGoody FalknerGoody Marston   aflicted Martha SprageRose FosterAbigall Martin  ( Suffolk Court Files vol. 32 docket 2678 p. 10. ),1692,August,8.1
SWP No. 8.2(Examination of Mary Barker  Copy)[August 29 1692 ]29'th August 1692  Before Maj'r Gidney M'r Hathorne M'r Corwin  The Examination And Confession of Mary Barker of Andivor   afte Several Questions Propounded & Neagative ans'rs  Returned She at last acknowledged that Goody Johnson Made her  a witch & that Some time last sumer she made a red mark in the  Divels book w'th the forefinger of her left hand & the Divel would  have her hurt Martha Sprage Rose Foster & Abigall Martin w'ch  She did on Satterday & Sabbath day last. She Said She was not above  a Quart'r of an hour a Coming Dwone from Andivor to Salem to  afflict She S'd She afflicted the above S'd 3 p'rsons by Squezing her  hands She Confesses She was at the witch Metting at Salem Village  w'th her Unckle there was a grate many there & of her Company was  only her Unckle Wm Barker &. Mary Marston Martha Sprage S'd  that Mary Barkers apperition told that She was baptized at 5 Mile  pond -- S'd Mary Barker S'd ther was Such a load & weight at her  Stomack that Hindred her from Speaking & is afrayd She has Given  up herself Soul & body to The Divel She Says She promised to Serve  worship & beleive in him & he promised to pardon her #[] Sins but finds  he has deceived her & that She was left of god & all good people  & that Goody Johnson & Goody falkner apeared at the Same time  & threatned to tear her in peices if She did not doe what She then did   She further Said that She had Seen no aperance Since but a fly #[that had]  w'ch did Speak to her & bid her afflict these poor Creaturs w'ch She did  by pinching With Clinching of her hands for w'ch She is Sorry  & furthe the Divel told her it would be Very brave & Cliver for her to  Come Dwone to Salem among these acused p'rsons & that She  Should Never be brought out She promised to Confese wh't more  She Shall hearafter Rememb'rMary Barker Signed & owned the abovesaid                 The X Marke  of [Mary Barker(/tag/barker_mary.html) Examination & Confession before me *Jn'o Higginson Justice  of Peace17'th Sep't  1692/ ( Essex Institute Collection no. 24 6v-7r.),1692,August,8.2
"SWP No. 8.3(Indictment v. Mary Barker for Afflicting Abigail Martin )[+ January 13 1693]2nd Paper Essex in New  England ss/Annoq'e RR's & Reginae Gulielmi & Mariae Angliae  &c quarto Anno Domini 1692//The Juriors for our Soveraigne Lord & Lady the King & Queen  doe present That Mary Barker of Andiver in the County of Essex  aforesaid On or about the 29'th Day of August last In the yeare  1692 aforsaid and divers other days and times both before and after  Certaine detestable Arts called Witchcraft & Sorceries Wickedly  felloniously & Mallitiously hath used practised and Exercised in & upon  the Body of Abigaill Martin of Andivor #[] at and within the Township  of Andivor aforesaid by which said Wicked Acts the said Abigaill Martin  the day aforsaid in the yeare aforesaid And at Divers other days and  times as well before as After was and is Tortured aflicted and Tormented.  And injured [""And Injured"" written over ""and thereby""] consumed pined and  wasted Against the peace of our Soveraigne Lord and Lady King and  Queen theire Crowne and dignity and the Statute of the first of  King James #[in] the first in that Case made and provided(Reverse) Mary Barker for bewitching Abigaill MartinBilla vera  *Robert Payne foreman: ponet seNot Guilty( Suffolk Court Files vol. 32 docket 2678 p. 10.)",1693,January,8.3
"SWP No. 8.4(Indictment v. Mary Barker for Afflicting Rose Foster )[+ January 13 1693 ]3rd Paper Essex in the Province  of the Massachusetts  Bay in New England  ss/Anno RR's & Reginae Gulielmi & Mariae Angliae &c'a Quarto Annoq'e  Domini 1692//The Jurors for our Sov'r Lord and Lady the King & Queen doe c'sent That Mary Barker of Andvor - - - In the County of Essex - -  On or about the 29'th day of August last #[1692] - -  In the Yeare aforesaid and divers other days and times as well  before as after Certaine detestable Arts Called Witchcraft and Sorceries Wickedly Mallitiously and felloniously hath used practised and  Exercised At and in the Towne of Andivo'r in the County of Essex - -  aforesaid in upon and against one Rose foster of [- - - -] aforesaid - - - by which said Wicked Acts the said Rose foster the day  & yeare - - aforesaid & divers other days and times both before and  after was and is Tortured Aflicted Consumed Pined Wasted and Tormented #[and also for Sundry other Acts of Witchcraft by the said ]  Comitted and done before and Since that time] Against [""A"" written  over ""a""] the Peace of our Sov'r Lord and Lady the King and  Queen theire Crowne and Dignity and the forme of the Stattute In  that case made & Provided.(Reverse) Mary Barker: bewitching Rose foster Billa veraforemanponet seNot Guilty( Suffolk Court Files Vol. 32 docket No. 2678 Page 9. )",1693,January,8.4
SWP No. 9.1(Warrant for apprehension of William Barker Sr.  Mary Marston and Mary Barker and Officer's Return )[August 25 1692]Essex To the Constables of Andov'r Complaint being made to me this day by Sam'l Martin of Andover  & Moses Tyler sen'r of Boxford against Willia Barker sen'r  Mary Marstone the wife of John Marstone jun'r & Mary Barker the  daughter of Lef't John Barker  all of Andov'r in that the aboves'd  William Barker Mary Marstone & Mary Barker have woefully afflicted  & abused Abigail Martin & Rose foster of Andov'r & Martha Sprague  of Boxford by witchcraft Contrary to the peace of o'r sovereigne  Lord & Lady #[King] William & Mary King & Queen of England &c: & to  their Majes'ts Laws in that Case provided:These therefore require you in their Majes'ts names upon sight hereof  to apprehend & seize the bodies of William Barker sen'r  Mary Marstone the wife of John Marstone jun'r & Mary Barker the  daughter of Lef't John Barker all of Andov'r & them safely Convey  to Salem before their Majes'ts justices of the peace there to be examined & proceeded with according to law for which this shall be  yo'r warrant: given und'r my hand & seal this #[eighteenth] 25'th [25]  day of August Anno Domini 1692: in the fourth year of their Majes'ts  Reigne:/                                        *Dudley Bradstreet justice of PeaceThe s'd Martin & Tyler have given suffitient bond to prosecute s'd  persons to effect which bond remains with me: (Reverse) [torn]  In Obediance Two this warant I have aprehended the within Riten  persons and have brought them to Salom the 29'th of August 1692  Before their honours mentined in the Rit:                                   pere me *Ephraim Foster                                  Constable of Andover   W'm BarkerMary Marston Mary BarkerExa'd 29: 6. 92  ( MS Ch K 1.40 vol. 2 p. 108 Rare Books and Manuscripts Boston Public Library Boston MA.),1692,August,9.1
SWP No. 9.2(Examination of William Barker Sr. )[August 29 1692]agust. 92.   Coram  Mag'r Gidney  m'r hathorn  m'r Corwin  Cap't higginsonWilliam Barker of Andove'rs examination  & confessionHe confesses he hes been in the snare of the devil three yeares  that the devil first appeared to him lyke a black man and perceived  he had a cloven foot That the devil demanded of  him to give up himself soul & Body unto him which he promesed to  doe He said he had a great family the world went hard with him and  was willing to pay every man his own And the devil told him he  would pay all his debts and he should live comfortably. -- He confesses  he hes afflicted #[?]sed Sprague foster and martin his three accusers. That  he did syne the devils book with blood brought to him in a thing lyke an Inkhorn that he dipt his finger therein and made a blott in the book which was a confirmation of the Covenant with the devil.  He confesses he was at a meeting of witches at Salem Village where he judges there was about a hundred of them that the meeting  was upon a green peece of ground neare the ministe'rs house He said  they mett there to destroy that place by reason of the peoples being  divided & theire differing with their ministe'rsSatans design was to set up his own worship abolish all the  churches in the land to fall next upon Salem and soe goe through  the countrey He sayth the devil promeised that all his people should  live bravely that all persones should be equall; that their should be no  day of resurection or of judgement and neither punishment nor  shame for sin. -- He sayth there was a Sacrament at that meeting theire was also bread & wyne m'r Burse was a ringleader in that meeting and named several persones that were there at the meeting It was  proposed at the meeting to make as many witches as they could  And they were all by m'r Burse and the black man exhorted to pull  down the Kingdome of christ and set up the Kingdome of the devil  He said he knew mr Burroughs and Goody How to be such persones  And that he heard a trumpet sounded at the meeting and thinks it  was Burse that did it The sound is heard many myles off And then  they all come one efter another -- In the spring of the yeare the witches came from Connecticut to afflict at Salem Village but now  they have left it off And that he hes been informed by some of the  grandees that there is about 307 witches in the country -- He sayth  the witches are much disturbed with the afflicted persones because they are discovered by them They curse the judges because their  Society is brought under They wold have the afflicted persones count ed as witches But he thinks the afflicted persones are Innocent & that they doe god good service And that he hes not known or  heard of one Innocent persone taken up & put in prisone -- He saith  he is heartily sorry for what he has done and for hurting the afflicted  persones his accuse'rs prayes their forgiveness desyres praye'rs for  himself promises to renounce the devil and all his works And then  he could take them all by the hand without any harme by his eye or any otherwise  5.7:92 the above Said is the Truth as wittnese my hand: *William Barker  (In left margin) he owned this is the Court of Oyre & Terminer as  on the back Side (Reverse) Wm Barkers Exa.acused.mr Busemr BuroughsGoody How  Coneticut witches  & Severall others  aflictedmartha SprageRose fosterAbigall martin  at A Court of Oyer & Termine'r held at Salem Sep'r 16 92.: owned in Court at Salem Sepr. 16. 1692 attest * St: Sewall  ( Massachusetts Archives Collection Vol. 135 No. 39. Massachusetts State Archives Boston MA. ),1692,August,9.2
