id,date,text
1,1753-06-08,At Colledge. A Clowdy ; Dull morning and so continued till about 5 a Clock when it began to rain ; moderately But continued not long But remained Clowdy all night in which night I watched with Powers.
2,1753-06-09,At Colledge the weather still remaining Clowdy all Day till 6 o'Clock when the Clowds were Dissipated and the sun brake forth in all his glory.
3,1753-06-10,At Colledge a clear morning. Heard Mr.  Appleton expound those words in I.Cor.12 Chapt. 7 first verses and in  the afternoon heard him preach from those words in 26 of Mathew 41 verse watch  and pray that ye enter not into temptation.
4,1753-06-11,At Colledge a fair morning and pretty warm.  About 2 o'Clock there appeared some symptoms of an approaching shower attended  with some thunder and lightning.
5,1753-06-12,At Colledge a Clowdy  morning heard Dr. Wigglesworth Preach from the 20 Chapter of  exodus 8 9 and 10th. Verses.
6,1753-06-13,At Colledge a Cloudy morning about 10 o'Clock  the Sun shone out very warm but about 12 the heat was in part allayed By the  rising of the wind.
7,1753-06-14,At Colledge a Clear warm morning But about 2  o'Clock came up a very hard shower acompanied with some thunder and  lightning.
8,1753-06-15,At Colledge a Clear warm morning and so  Continued.
9,1753-06-16,At Colledge a fair morning but not very  warm.
10,1753-06-17,At Colledge sunshiny -- morning  heard Mr. Appleton expound those words in I. Cor. 12 Chap. from  7 to the end of 11 verse in the afternoon heard him preach from the first  Psalm and first verse.
11,1753-06-18,At Colledge a warm morning at 11 'Clock read  Theses on this question (viz) antliarum et siphonum phaenomina solvuntur ex  gravitate aeris.       
12,1753-06-19,At Colledge a very warm morning at 11 Disputed  on this question (viz) systema Copernicanum est verum mundi systema.
13,1753-06-20,At Colledge a most Charming and Beautifull Scene is this morning displayed. All nature  wears a Chearfull garb after so plentifull a Shower as we were favoured with the Last night receving an additionall lustre from the  sweet influences of the Sun. -- This Day I (in the religious Phylosopher) read the following experiment (viz)  that the filings of iron mix'd with sulphur and kneaded to a Dough By the addittion of Cold water will in a few hours Become warm  and at last Be set on fire. Which is undoubtedly true and if so I think that  it affords a very probable method of solving the phnomina of subterraneous fires. For it is highly  probable that there are abundance of the particles of iron Sulphur and water  which (By the flux of water perhaps in the subterraneous Caverns) may Be  Brought together and then it appears By the precedent experiment that this  effect (viz a fire) will Be produced. At 2 o'Clock heard Mr. Winthrop's lecture in the Hall in which he  was employed in evincing the sphroidall form of the earth which he Did from  the vibrations of pendula the precession of the a equinox and from actual  mensuration of Degrees at the quinox and the  poles. -- After which I extracted the following Hydrostatical Laws from the  religious Phylosopher (viz) 1st: if a Body is to  be Carried upwards in any liquor an equall Bulk of  said liquor must gravitate or weigh more than such a Body.   3      2ndly.  that in order to Cause a Body to sink in a liquor an equal Bulk of said liquor  must weigh less than the Body. 3rdly. if you would have the Body neither to  rise or fall But preserve it's place in any part of the liquor an equal  quantity of the said liquor must weigh equally with the Body.
14,1753-06-21,At Colledge a warm morning and Something windy  about Sunset Came up a very hard shower attended with some Thunder and very  Sharp lightning.
15,1753-06-22,At Colledge a Charming pleasant morning  read Dr. Niewentyts Demonstration Concerning the rays of light  emitted from a Burning Candle in a second of time which he Computes to Be  418660 39 Particles.
